model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
detests-beto-3_first_comment_hard_s91_max_tokens_512,0.867,0.657,0.768,0.524,0.879,0.633,0.854,0.682,0.808,0.862,0.643,0.831,0.135,0.870,0.117,0.724,0.133,0.736,0.134,0.804,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-3_first_comment_soft_s42_max_tokens_512,0.867,0.661,0.772,0.530,0.883,0.633,0.852,0.693,0.809,0.885,0.651,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.304,0.321,0.237,0.145,0.045,0.628,1.432,0.700,0.176,0.193
detests-beto-3_first_comment_soft_s43_max_tokens_512,0.864,0.670,0.782,0.538,0.892,0.622,0.838,0.725,0.807,0.885,0.691,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.237,0.318,0.175,0.191,0.053,0.583,1.084,0.609,0.222,0.239
detests-beto-3_first_comment_soft_s44_max_tokens_512,0.864,0.662,0.774,0.528,0.885,0.625,0.844,0.703,0.806,0.874,0.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.259,0.322,0.205,0.185,0.048,0.605,1.090,0.620,0.210,0.232
detests-beto-3_first_comment_soft_s45_max_tokens_512,0.862,0.664,0.777,0.529,0.889,0.617,0.836,0.717,0.804,0.862,0.686,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.268,0.318,0.191,0.152,0.053,0.607,1.437,0.680,0.186,0.202
detests-beto-3_first_comment_soft_s46_max_tokens_512,0.869,0.654,0.765,0.523,0.876,0.640,0.862,0.668,0.810,0.862,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.322,0.316,0.250,0.146,0.049,0.615,1.371,0.678,0.205,0.203
detests-beto-3_first_comment_soft_s47_max_tokens_512,0.870,0.661,0.771,0.532,0.880,0.642,0.860,0.682,0.812,0.862,0.643,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.284,0.309,0.224,0.173,0.057,0.574,1.110,0.621,0.231,0.232
detests-beto-3_first_comment_soft_s48_max_tokens_512,0.869,0.669,0.778,0.539,0.886,0.638,0.853,0.703,0.812,0.920,0.656,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.262,0.314,0.172,0.160,0.051,0.600,1.390,0.668,0.200,0.204
detests-beto-3_first_comment_soft_s49_max_tokens_512,0.870,0.665,0.774,0.536,0.883,0.642,0.858,0.691,0.813,0.885,0.648,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.306,0.314,0.244,0.147,0.048,0.612,1.314,0.679,0.206,0.206
detests-beto-3_first_comment_soft_s50_max_tokens_512,0.865,0.671,0.782,0.540,0.892,0.624,0.839,0.725,0.808,0.874,0.693,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.268,0.321,0.217,0.182,0.050,0.597,1.155,0.640,0.224,0.233
detests-beto-3_first_comment_soft_s51_max_tokens_512,0.878,0.673,0.777,0.551,0.881,0.667,0.875,0.678,0.822,0.862,0.638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.307,0.306,0.232,0.142,0.048,0.605,1.353,0.683,0.204,0.197
detests-beto-4_news_title_hard_s42_max_tokens_512,0.873,0.590,0.715,0.473,0.837,0.684,0.912,0.518,0.806,0.713,0.476,0.847,0.089,0.863,0.064,0.787,0.132,0.796,0.109,0.847,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s43_max_tokens_512,0.251,0.176,0.246,-0.485,0.415,0.123,0.180,0.311,0.215,0.218,0.332,0.502,0.001,0.501,0.001,0.503,0.001,0.502,0.001,0.502,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s44_max_tokens_512,0.866,0.626,0.743,0.492,0.860,0.638,0.872,0.615,0.802,0.759,0.584,0.832,0.131,0.871,0.111,0.720,0.134,0.747,0.128,0.802,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s45_max_tokens_512,0.193,0.223,0.276,-0.459,0.379,0.152,0.130,0.422,0.209,0.276,0.454,0.501,0.001,0.501,0.001,0.501,0.001,0.501,0.001,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s46_max_tokens_512,0.871,0.642,0.754,0.513,0.866,0.653,0.876,0.631,0.810,0.747,0.606,0.828,0.136,0.871,0.117,0.709,0.124,0.743,0.136,0.778,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s47_max_tokens_512,0.868,0.625,0.741,0.494,0.858,0.647,0.878,0.605,0.805,0.724,0.579,0.826,0.136,0.865,0.117,0.717,0.136,0.745,0.133,0.786,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s48_max_tokens_512,0.876,0.615,0.732,0.498,0.847,0.687,0.906,0.557,0.812,0.598,0.549,0.824,0.138,0.866,0.117,0.690,0.128,0.748,0.137,0.758,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s49_max_tokens_512,0.867,0.645,0.758,0.512,0.871,0.639,0.864,0.652,0.807,0.759,0.628,0.832,0.132,0.864,0.116,0.735,0.138,0.743,0.128,0.818,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s50_max_tokens_512,0.881,0.638,0.746,0.524,0.856,0.702,0.909,0.584,0.821,0.678,0.564,0.830,0.134,0.870,0.113,0.703,0.123,0.760,0.131,0.764,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s51_max_tokens_512,0.868,0.611,0.731,0.481,0.850,0.653,0.887,0.574,0.803,0.724,0.541,0.830,0.134,0.869,0.113,0.713,0.130,0.740,0.135,0.791,0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s52_max_tokens_512,0.873,0.620,0.736,0.497,0.852,0.672,0.897,0.576,0.810,0.678,0.554,0.813,0.135,0.852,0.118,0.686,0.126,0.748,0.132,0.758,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s53_max_tokens_512,0.149,0.243,0.287,-0.464,0.332,0.163,0.096,0.477,0.199,0.322,0.511,0.501,0.000,0.500,0.000,0.501,0.000,0.501,0.000,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s54_max_tokens_512,0.878,0.639,0.749,0.520,0.859,0.685,0.899,0.598,0.818,0.690,0.579,0.830,0.134,0.871,0.112,0.713,0.125,0.748,0.138,0.775,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s55_max_tokens_512,0.206,0.203,0.259,-0.481,0.381,0.139,0.141,0.377,0.205,0.287,0.397,0.502,0.001,0.501,0.001,0.502,0.001,0.501,0.001,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s56_max_tokens_512,0.877,0.569,0.701,0.470,0.827,0.722,0.934,0.469,0.808,0.586,0.444,0.825,0.135,0.875,0.104,0.641,0.106,0.744,0.135,0.715,0.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s57_max_tokens_512,0.869,0.625,0.741,0.495,0.857,0.651,0.881,0.600,0.806,0.713,0.576,0.834,0.135,0.875,0.113,0.715,0.134,0.762,0.132,0.787,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s58_max_tokens_512,0.877,0.617,0.733,0.502,0.848,0.692,0.909,0.557,0.814,0.690,0.529,0.833,0.133,0.878,0.108,0.697,0.118,0.749,0.137,0.761,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s59_max_tokens_512,0.877,0.604,0.723,0.492,0.841,0.700,0.916,0.531,0.812,0.667,0.501,0.829,0.135,0.877,0.109,0.678,0.118,0.748,0.138,0.745,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s60_max_tokens_512,0.298,0.150,0.238,-0.483,0.448,0.107,0.224,0.252,0.231,0.172,0.269,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s61_max_tokens_512,0.193,0.184,0.237,-0.524,0.353,0.126,0.133,0.340,0.189,0.195,0.372,0.500,0.000,0.500,0.000,0.501,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s62_max_tokens_512,0.859,0.635,0.753,0.495,0.870,0.614,0.847,0.658,0.796,0.782,0.631,0.822,0.131,0.855,0.118,0.721,0.130,0.751,0.128,0.808,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s63_max_tokens_512,0.854,0.653,0.771,0.513,0.888,0.598,0.822,0.719,0.794,0.839,0.693,0.826,0.137,0.860,0.124,0.727,0.136,0.729,0.139,0.823,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s64_max_tokens_512,0.179,0.226,0.275,-0.467,0.362,0.153,0.119,0.432,0.203,0.333,0.454,0.501,0.000,0.500,0.000,0.501,0.000,0.501,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s65_max_tokens_512,0.832,0.621,0.748,0.463,0.880,0.553,0.789,0.707,0.767,0.782,0.691,0.804,0.136,0.834,0.122,0.721,0.141,0.710,0.122,0.820,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s66_max_tokens_512,0.214,0.190,0.249,-0.495,0.383,0.131,0.149,0.348,0.203,0.207,0.379,0.502,0.001,0.501,0.001,0.502,0.001,0.502,0.001,0.501,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s67_max_tokens_512,0.844,0.627,0.750,0.476,0.876,0.577,0.814,0.686,0.780,0.782,0.666,0.810,0.137,0.846,0.123,0.709,0.134,0.724,0.128,0.809,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s68_max_tokens_512,0.871,0.626,0.742,0.499,0.856,0.660,0.887,0.596,0.808,0.747,0.564,0.831,0.134,0.871,0.114,0.711,0.136,0.756,0.137,0.784,0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s69_max_tokens_512,0.853,0.645,0.764,0.503,0.882,0.598,0.826,0.701,0.792,0.874,0.663,0.826,0.133,0.857,0.118,0.725,0.139,0.754,0.133,0.822,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s70_max_tokens_512,0.851,0.662,0.780,0.525,0.898,0.592,0.809,0.752,0.794,0.862,0.728,0.822,0.137,0.850,0.129,0.730,0.137,0.745,0.123,0.830,0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s71_max_tokens_512,0.224,0.186,0.247,-0.494,0.391,0.128,0.157,0.336,0.205,0.241,0.357,0.501,0.001,0.501,0.000,0.501,0.001,0.501,0.001,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s72_max_tokens_512,0.877,0.592,0.716,0.484,0.836,0.709,0.923,0.508,0.811,0.678,0.471,0.832,0.137,0.884,0.107,0.654,0.101,0.751,0.133,0.724,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s73_max_tokens_512,0.855,0.640,0.758,0.498,0.877,0.603,0.835,0.682,0.794,0.816,0.653,0.820,0.137,0.856,0.122,0.716,0.137,0.742,0.127,0.806,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s74_max_tokens_512,0.859,0.609,0.732,0.468,0.854,0.620,0.865,0.598,0.793,0.736,0.569,0.817,0.135,0.856,0.117,0.699,0.131,0.741,0.129,0.786,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s75_max_tokens_512,0.874,0.625,0.740,0.502,0.854,0.672,0.895,0.584,0.811,0.724,0.554,0.833,0.129,0.871,0.109,0.714,0.135,0.756,0.127,0.789,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s76_max_tokens_512,0.862,0.649,0.764,0.513,0.878,0.621,0.847,0.680,0.802,0.805,0.653,0.827,0.134,0.864,0.115,0.717,0.138,0.744,0.130,0.807,0.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s77_max_tokens_512,0.847,0.640,0.761,0.494,0.884,0.583,0.813,0.709,0.785,0.839,0.681,0.814,0.135,0.844,0.121,0.730,0.134,0.712,0.130,0.820,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s78_max_tokens_512,0.874,0.613,0.731,0.492,0.847,0.677,0.902,0.559,0.810,0.724,0.524,0.825,0.131,0.863,0.113,0.708,0.132,0.754,0.127,0.772,0.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s79_max_tokens_512,0.877,0.614,0.730,0.500,0.846,0.696,0.912,0.549,0.814,0.632,0.531,0.831,0.131,0.871,0.109,0.719,0.128,0.751,0.130,0.770,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s80_max_tokens_512,0.859,0.614,0.736,0.474,0.857,0.618,0.861,0.611,0.794,0.724,0.586,0.821,0.135,0.861,0.114,0.704,0.134,0.732,0.135,0.793,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s81_max_tokens_512,0.864,0.643,0.758,0.508,0.872,0.628,0.856,0.660,0.803,0.782,0.633,0.829,0.133,0.864,0.115,0.720,0.144,0.754,0.124,0.810,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s82_max_tokens_512,0.191,0.216,0.268,-0.473,0.370,0.147,0.128,0.408,0.204,0.276,0.436,0.500,0.000,0.500,0.000,0.501,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s83_max_tokens_512,0.873,0.625,0.740,0.501,0.854,0.670,0.894,0.586,0.811,0.644,0.574,0.826,0.128,0.865,0.109,0.707,0.120,0.753,0.130,0.779,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s84_max_tokens_512,0.869,0.629,0.744,0.499,0.859,0.651,0.880,0.609,0.807,0.736,0.581,0.834,0.136,0.873,0.118,0.715,0.135,0.743,0.139,0.804,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s85_max_tokens_512,0.866,0.633,0.748,0.499,0.864,0.637,0.868,0.629,0.804,0.747,0.603,0.824,0.137,0.863,0.119,0.704,0.134,0.751,0.132,0.788,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s86_max_tokens_512,0.855,0.634,0.753,0.490,0.872,0.604,0.839,0.666,0.792,0.816,0.633,0.839,0.132,0.875,0.114,0.732,0.135,0.737,0.134,0.837,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s87_max_tokens_512,0.222,0.183,0.244,-0.499,0.387,0.127,0.156,0.332,0.203,0.241,0.352,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s88_max_tokens_512,0.263,0.158,0.233,-0.501,0.418,0.111,0.192,0.275,0.214,0.195,0.292,0.517,0.010,0.510,0.008,0.519,0.010,0.517,0.010,0.510,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s89_max_tokens_512,0.187,0.218,0.269,-0.474,0.366,0.148,0.125,0.412,0.203,0.322,0.431,0.501,0.001,0.501,0.000,0.501,0.001,0.501,0.001,0.501,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s90_max_tokens_512,0.161,0.232,0.278,-0.472,0.342,0.157,0.105,0.451,0.198,0.299,0.484,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_hard_s91_max_tokens_512,0.870,0.615,0.733,0.487,0.851,0.657,0.889,0.578,0.805,0.724,0.546,0.825,0.135,0.866,0.113,0.697,0.134,0.745,0.133,0.780,0.139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-4_news_title_soft_s42_max_tokens_512,0.845,0.640,0.762,0.493,0.886,0.579,0.807,0.717,0.783,0.851,0.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.336,0.333,0.296,0.184,0.051,0.595,1.526,0.638,0.198,0.231
detests-beto-4_news_title_soft_s43_max_tokens_512,0.858,0.677,0.791,0.546,0.905,0.606,0.816,0.766,0.803,0.885,0.741,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.226,0.317,0.140,0.166,0.048,0.603,1.542,0.660,0.193,0.193
detests-beto-4_news_title_soft_s44_max_tokens_512,0.851,0.659,0.777,0.520,0.895,0.592,0.812,0.742,0.793,0.920,0.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.231,0.327,0.168,0.145,0.041,0.641,1.342,0.678,0.161,0.179
detests-beto-4_news_title_soft_s45_max_tokens_512,0.861,0.665,0.779,0.531,0.892,0.615,0.832,0.725,0.804,0.874,0.693,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.264,0.317,0.192,0.138,0.046,0.628,1.511,0.696,0.152,0.159
detests-beto-4_news_title_soft_s46_max_tokens_512,0.860,0.656,0.771,0.520,0.885,0.614,0.837,0.705,0.801,0.862,0.671,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.284,0.316,0.212,0.128,0.045,0.616,1.435,0.696,0.184,0.183
detests-beto-4_news_title_soft_s47_max_tokens_512,0.857,0.668,0.783,0.533,0.898,0.603,0.819,0.748,0.800,0.897,0.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.249,0.322,0.197,0.176,0.050,0.596,1.236,0.648,0.200,0.217
detests-beto-4_news_title_soft_s48_max_tokens_512,0.835,0.663,0.788,0.524,0.916,0.561,0.767,0.809,0.778,0.931,0.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.187,0.342,0.146,0.210,0.048,0.602,1.068,0.616,0.195,0.223
detests-beto-4_news_title_soft_s49_max_tokens_512,0.848,0.658,0.777,0.517,0.898,0.584,0.803,0.752,0.789,0.920,0.716,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.248,0.325,0.195,0.206,0.056,0.550,1.095,0.612,0.258,0.246
detests-beto-4_news_title_soft_s50_max_tokens_512,0.857,0.682,0.798,0.553,0.911,0.602,0.808,0.787,0.802,0.885,0.766,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.184,0.324,0.121,0.199,0.052,0.595,1.110,0.626,0.195,0.210
detests-beto-4_news_title_soft_s51_max_tokens_512,0.860,0.651,0.766,0.513,0.881,0.613,0.839,0.693,0.800,0.816,0.666,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.263,0.318,0.173,0.134,0.049,0.602,1.377,0.694,0.199,0.197
detests-beto-5_concat_contexts_hard_s42_max_tokens_512,0.868,0.623,0.740,0.492,0.857,0.648,0.880,0.600,0.805,0.793,0.559,0.842,0.097,0.860,0.076,0.769,0.134,0.787,0.112,0.843,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s43_max_tokens_512,0.268,0.145,0.223,-0.516,0.417,0.102,0.198,0.248,0.211,0.126,0.274,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s44_max_tokens_512,0.851,0.663,0.781,0.525,0.899,0.592,0.808,0.754,0.794,0.874,0.728,0.821,0.138,0.853,0.122,0.726,0.147,0.734,0.133,0.822,0.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s45_max_tokens_512,0.834,0.636,0.762,0.485,0.891,0.558,0.784,0.740,0.772,0.897,0.706,0.798,0.131,0.819,0.117,0.725,0.138,0.708,0.129,0.827,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s46_max_tokens_512,0.831,0.653,0.779,0.510,0.909,0.555,0.766,0.793,0.773,0.931,0.763,0.803,0.133,0.820,0.121,0.739,0.141,0.701,0.116,0.836,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s47_max_tokens_512,0.851,0.645,0.764,0.502,0.884,0.593,0.821,0.707,0.790,0.862,0.673,0.823,0.134,0.854,0.118,0.734,0.141,0.721,0.135,0.830,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s48_max_tokens_512,0.878,0.667,0.772,0.546,0.877,0.671,0.880,0.664,0.822,0.828,0.628,0.832,0.138,0.867,0.124,0.726,0.136,0.747,0.133,0.802,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s49_max_tokens_512,0.846,0.654,0.775,0.512,0.896,0.581,0.801,0.748,0.787,0.862,0.723,0.818,0.136,0.844,0.124,0.740,0.137,0.727,0.130,0.831,0.135,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s50_max_tokens_512,0.853,0.658,0.775,0.519,0.893,0.597,0.817,0.734,0.795,0.897,0.698,0.825,0.137,0.854,0.122,0.732,0.144,0.732,0.137,0.834,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s51_max_tokens_512,0.843,0.656,0.778,0.514,0.901,0.575,0.792,0.764,0.784,0.897,0.736,0.805,0.131,0.828,0.118,0.730,0.135,0.717,0.130,0.823,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s52_max_tokens_512,0.270,0.142,0.221,-0.520,0.416,0.100,0.199,0.242,0.211,0.115,0.269,0.500,0.000,0.500,0.000,0.500,0.000,0.501,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s53_max_tokens_512,0.866,0.645,0.758,0.512,0.872,0.635,0.861,0.656,0.806,0.793,0.626,0.822,0.140,0.860,0.129,0.714,0.126,0.723,0.135,0.797,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s54_max_tokens_512,0.839,0.655,0.778,0.512,0.903,0.568,0.783,0.773,0.780,0.885,0.748,0.809,0.140,0.830,0.128,0.730,0.148,0.709,0.144,0.840,0.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s55_max_tokens_512,0.842,0.644,0.766,0.497,0.891,0.574,0.799,0.734,0.781,0.874,0.703,0.811,0.132,0.831,0.121,0.748,0.138,0.707,0.126,0.835,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s56_max_tokens_512,0.837,0.653,0.777,0.509,0.904,0.564,0.779,0.775,0.778,0.908,0.746,0.799,0.133,0.817,0.123,0.732,0.134,0.710,0.135,0.826,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s57_max_tokens_512,0.848,0.650,0.770,0.506,0.891,0.584,0.808,0.732,0.788,0.839,0.708,0.817,0.136,0.839,0.127,0.750,0.141,0.715,0.132,0.837,0.129,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s58_max_tokens_512,0.837,0.652,0.776,0.507,0.903,0.564,0.779,0.773,0.778,0.885,0.748,0.811,0.137,0.830,0.128,0.742,0.142,0.693,0.129,0.846,0.123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s59_max_tokens_512,0.861,0.639,0.755,0.500,0.872,0.619,0.850,0.660,0.799,0.828,0.623,0.833,0.134,0.868,0.117,0.731,0.142,0.744,0.137,0.819,0.131,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-beto-5_concat_contexts_hard_s60_max_tokens_512,0.841,0.638,0.761,0.489,0.886,0.571,0.801,0.721,0.779,0.874,0.688,0.804,0.130,0.825,0.117,0.736,0.139,0.701,0.125,0.832,0.128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
