model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
detests-mbert-3_first_comment_hard_s55_max_tokens_512,0.839,0.584,0.716,0.423,0.850,0.564,0.828,0.605,0.768,0.782,0.566,0.783,0.145,0.844,0.130,0.649,0.094,0.711,0.132,0.710,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s56_max_tokens_512,0.861,0.598,0.723,0.460,0.847,0.629,0.876,0.570,0.794,0.793,0.521,0.782,0.150,0.836,0.138,0.635,0.088,0.725,0.140,0.687,0.104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s57_max_tokens_512,0.104,0.431,0.516,0.069,0.869,0.276,0.055,0.977,0.304,0.966,0.980,0.504,0.002,0.501,0.001,0.504,0.001,0.502,0.001,0.505,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s58_max_tokens_512,0.862,0.327,0.593,0.321,0.770,0.783,0.979,0.207,0.771,0.368,0.172,0.765,0.122,0.806,0.103,0.559,0.038,0.688,0.107,0.596,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s59_max_tokens_512,0.866,0.548,0.690,0.430,0.823,0.666,0.914,0.465,0.793,0.724,0.409,0.773,0.138,0.828,0.113,0.597,0.070,0.718,0.128,0.627,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s60_max_tokens_512,0.325,0.200,0.291,-0.389,0.498,0.142,0.241,0.340,0.268,0.184,0.374,0.500,0.000,0.500,0.000,0.501,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s61_max_tokens_512,0.847,0.595,0.723,0.442,0.852,0.585,0.842,0.605,0.778,0.828,0.556,0.780,0.143,0.827,0.130,0.659,0.112,0.699,0.133,0.740,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s62_max_tokens_512,0.853,0.153,0.539,0.217,0.747,0.854,0.995,0.084,0.749,0.172,0.065,0.754,0.092,0.783,0.070,0.527,0.026,0.691,0.089,0.539,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s63_max_tokens_512,0.802,0.587,0.724,0.410,0.873,0.502,0.742,0.707,0.732,0.851,0.676,0.768,0.123,0.805,0.122,0.697,0.110,0.693,0.115,0.767,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s64_max_tokens_512,0.874,0.569,0.702,0.462,0.828,0.701,0.924,0.480,0.805,0.770,0.416,0.789,0.133,0.843,0.104,0.601,0.062,0.739,0.131,0.643,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s65_max_tokens_512,0.839,0.555,0.696,0.394,0.835,0.562,0.842,0.549,0.763,0.724,0.511,0.755,0.145,0.815,0.129,0.602,0.077,0.702,0.130,0.667,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s66_max_tokens_512,0.548,0.512,0.651,0.291,0.925,0.355,0.389,0.914,0.530,0.966,0.903,0.655,0.088,0.653,0.100,0.639,0.079,0.603,0.083,0.692,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s67_max_tokens_512,0.862,0.375,0.609,0.334,0.778,0.732,0.966,0.252,0.774,0.368,0.227,0.741,0.140,0.783,0.130,0.578,0.065,0.665,0.109,0.580,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s68_max_tokens_512,0.846,0.077,0.516,0.112,0.737,0.645,0.992,0.041,0.736,0.046,0.040,0.748,0.109,0.782,0.093,0.533,0.024,0.668,0.094,0.534,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s69_max_tokens_512,0.843,0.549,0.691,0.392,0.831,0.572,0.855,0.527,0.767,0.678,0.494,0.740,0.145,0.804,0.126,0.580,0.070,0.697,0.120,0.613,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s70_max_tokens_512,0.862,0.313,0.588,0.316,0.768,0.798,0.982,0.195,0.770,0.368,0.157,0.760,0.112,0.799,0.087,0.549,0.043,0.693,0.103,0.564,0.046,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s71_max_tokens_512,0.868,0.365,0.608,0.365,0.777,0.838,0.983,0.234,0.781,0.402,0.197,0.773,0.134,0.819,0.109,0.541,0.047,0.692,0.119,0.559,0.048,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s72_max_tokens_512,0.860,0.281,0.577,0.297,0.763,0.806,0.985,0.170,0.765,0.356,0.130,0.755,0.138,0.799,0.119,0.545,0.036,0.666,0.118,0.557,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s73_max_tokens_512,0.834,0.573,0.709,0.407,0.847,0.551,0.821,0.596,0.760,0.805,0.551,0.768,0.125,0.824,0.106,0.640,0.081,0.739,0.121,0.681,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s74_max_tokens_512,0.841,0.587,0.718,0.428,0.851,0.568,0.830,0.607,0.770,0.736,0.579,0.786,0.143,0.836,0.133,0.679,0.110,0.719,0.133,0.729,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
detests-mbert-3_first_comment_hard_s75_max_tokens_512,0.837,0.545,0.689,0.383,0.831,0.557,0.843,0.535,0.760,0.713,0.496,0.762,0.152,0.837,0.118,0.593,0.080,0.723,0.140,0.610,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
