model,f1_neg,f1_pos,roc_auc,mcc,precision_neg,precision_pos,recall_neg,recall_pos,accuracy,accuracy_explicit,accuracy_implicit,accuracy_no_contextual,accuracy_contextual,softmax_confidence,softmax_confidence_std,TN_softmax_confidence,TN_softmax_confidence_std,FP_softmax_confidence,FP_softmax_confidence_std,FN_softmax_confidence,FN_softmax_confidence_std,TP_softmax_confidence,TP_softmax_confidence_std,cross_entropy,MSE,TN_cross_entropy,TN_MSE,FP_cross_entropy,FP_MSE,FN_cross_entropy,FN_MSE,TP_cross_entropy,TP_MSE
stereohoax-roberta_bne-2_txt_father_soft_s44_max_tokens_512,0.841,0.636,0.729,0.484,0.807,0.704,0.878,0.580,0.779,0.630,0.384,0.703,0.352,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.313,0.167,0.156,0.067,0.534,1.172,0.601,0.277,0.223
stereohoax-roberta_bne-2_txt_father_soft_s45_max_tokens_512,0.867,0.700,0.773,0.572,0.836,0.762,0.899,0.647,0.815,0.687,0.493,0.746,0.464,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.332,0.295,0.186,0.143,0.059,0.543,1.359,0.618,0.264,0.215
stereohoax-roberta_bne-2_txt_father_soft_s46_max_tokens_512,0.851,0.669,0.751,0.524,0.824,0.723,0.881,0.622,0.795,0.673,0.425,0.746,0.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.302,0.300,0.166,0.141,0.056,0.553,1.171,0.598,0.255,0.206
stereohoax-roberta_bne-2_txt_father_soft_s47_max_tokens_512,0.840,0.627,0.723,0.476,0.803,0.704,0.881,0.566,0.776,0.609,0.397,0.668,0.376,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.311,0.311,0.158,0.154,0.066,0.534,1.148,0.602,0.250,0.200
stereohoax-roberta_bne-2_txt_father_soft_s48_max_tokens_512,0.842,0.639,0.731,0.487,0.809,0.704,0.877,0.585,0.780,0.634,0.397,0.685,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.310,0.307,0.159,0.149,0.061,0.535,1.131,0.591,0.285,0.224
stereohoax-roberta_bne-2_txt_father_soft_s49_max_tokens_512,0.853,0.659,0.745,0.521,0.816,0.737,0.894,0.597,0.795,0.648,0.397,0.698,0.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.331,0.311,0.156,0.143,0.059,0.561,1.343,0.624,0.267,0.222
stereohoax-roberta_bne-2_txt_father_soft_s50_max_tokens_512,0.841,0.619,0.719,0.471,0.798,0.710,0.888,0.549,0.775,0.599,0.356,0.629,0.400,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.320,0.163,0.151,0.057,0.555,1.233,0.618,0.267,0.214
stereohoax-roberta_bne-2_txt_father_soft_s51_max_tokens_512,0.855,0.659,0.745,0.524,0.815,0.746,0.899,0.591,0.797,0.648,0.370,0.716,0.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.302,0.138,0.160,0.069,0.520,1.103,0.584,0.300,0.236
stereohoax-roberta_bne-3_txt_head_hard_s42_max_tokens_512,0.848,0.691,0.768,0.540,0.843,0.701,0.854,0.682,0.797,0.732,0.486,0.815,0.432,0.750,0.131,0.800,0.111,0.633,0.096,0.689,0.134,0.701,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s43_max_tokens_512,0.845,0.659,0.744,0.507,0.819,0.706,0.871,0.617,0.786,0.665,0.432,0.764,0.344,0.754,0.131,0.799,0.122,0.646,0.096,0.713,0.128,0.698,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s44_max_tokens_512,0.844,0.687,0.765,0.531,0.842,0.690,0.846,0.684,0.792,0.746,0.446,0.828,0.416,0.747,0.131,0.796,0.126,0.632,0.089,0.684,0.116,0.707,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s45_max_tokens_512,0.852,0.631,0.727,0.503,0.798,0.760,0.915,0.539,0.789,0.606,0.284,0.678,0.280,0.752,0.127,0.804,0.108,0.601,0.084,0.705,0.120,0.664,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s46_max_tokens_512,0.846,0.593,0.704,0.468,0.782,0.754,0.920,0.489,0.776,0.556,0.230,0.631,0.224,0.693,0.107,0.735,0.095,0.602,0.063,0.650,0.103,0.614,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s47_max_tokens_512,0.856,0.631,0.728,0.512,0.797,0.779,0.924,0.531,0.793,0.585,0.324,0.639,0.328,0.724,0.110,0.767,0.091,0.598,0.072,0.663,0.105,0.664,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s48_max_tokens_512,0.844,0.529,0.673,0.442,0.758,0.806,0.952,0.394,0.766,0.444,0.203,0.519,0.160,0.713,0.116,0.766,0.093,0.565,0.045,0.651,0.100,0.590,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s49_max_tokens_512,0.853,0.603,0.712,0.492,0.785,0.788,0.934,0.489,0.785,0.549,0.257,0.622,0.240,0.748,0.130,0.798,0.113,0.608,0.096,0.668,0.112,0.680,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s50_max_tokens_512,0.849,0.559,0.688,0.467,0.768,0.810,0.950,0.427,0.775,0.472,0.257,0.541,0.216,0.664,0.100,0.706,0.087,0.542,0.035,0.617,0.085,0.567,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s51_max_tokens_512,0.837,0.617,0.716,0.464,0.796,0.701,0.882,0.550,0.771,0.613,0.311,0.657,0.352,0.740,0.133,0.796,0.116,0.601,0.081,0.673,0.120,0.675,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s52_max_tokens_512,0.814,0.505,0.651,0.347,0.751,0.649,0.888,0.413,0.729,0.479,0.162,0.562,0.136,0.658,0.095,0.696,0.091,0.577,0.052,0.613,0.082,0.598,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s53_max_tokens_512,0.840,0.520,0.668,0.426,0.755,0.785,0.947,0.388,0.760,0.437,0.203,0.545,0.096,0.681,0.101,0.715,0.088,0.571,0.055,0.634,0.093,0.622,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s54_max_tokens_512,0.845,0.587,0.701,0.463,0.780,0.754,0.922,0.480,0.774,0.528,0.297,0.631,0.200,0.703,0.125,0.763,0.106,0.560,0.039,0.640,0.110,0.588,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s55_max_tokens_512,0.848,0.604,0.711,0.478,0.787,0.756,0.919,0.503,0.780,0.553,0.311,0.605,0.312,0.733,0.118,0.777,0.099,0.613,0.083,0.667,0.115,0.675,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s56_max_tokens_512,0.839,0.568,0.690,0.441,0.773,0.740,0.919,0.461,0.766,0.511,0.270,0.558,0.280,0.723,0.117,0.772,0.097,0.609,0.088,0.655,0.110,0.649,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s57_max_tokens_512,0.845,0.581,0.698,0.463,0.777,0.764,0.927,0.469,0.774,0.525,0.257,0.622,0.184,0.715,0.116,0.764,0.100,0.579,0.067,0.656,0.102,0.630,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s58_max_tokens_512,0.848,0.577,0.697,0.468,0.775,0.781,0.936,0.458,0.776,0.514,0.243,0.571,0.248,0.712,0.125,0.765,0.111,0.582,0.060,0.647,0.106,0.610,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s59_max_tokens_512,0.857,0.707,0.779,0.564,0.849,0.721,0.866,0.693,0.808,0.746,0.486,0.803,0.488,0.745,0.132,0.789,0.128,0.639,0.094,0.687,0.125,0.701,0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s60_max_tokens_512,0.847,0.625,0.723,0.488,0.797,0.738,0.903,0.542,0.783,0.613,0.270,0.721,0.208,0.739,0.116,0.787,0.090,0.611,0.093,0.680,0.112,0.674,0.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s61_max_tokens_512,0.849,0.572,0.695,0.471,0.773,0.796,0.943,0.447,0.777,0.493,0.270,0.528,0.296,0.717,0.109,0.759,0.092,0.597,0.074,0.655,0.106,0.649,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s62_max_tokens_512,0.843,0.652,0.739,0.499,0.815,0.705,0.873,0.606,0.784,0.669,0.365,0.725,0.384,0.736,0.127,0.786,0.113,0.611,0.088,0.658,0.114,0.693,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s63_max_tokens_512,0.850,0.628,0.725,0.497,0.798,0.751,0.910,0.539,0.786,0.599,0.311,0.717,0.208,0.727,0.125,0.784,0.106,0.580,0.054,0.692,0.116,0.616,0.075,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s64_max_tokens_512,0.862,0.681,0.760,0.553,0.824,0.764,0.905,0.615,0.808,0.683,0.351,0.790,0.288,0.720,0.110,0.765,0.099,0.624,0.075,0.670,0.102,0.651,0.082,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s65_max_tokens_512,0.843,0.525,0.671,0.436,0.757,0.800,0.951,0.391,0.764,0.433,0.230,0.494,0.200,0.688,0.093,0.728,0.072,0.571,0.050,0.641,0.089,0.600,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s66_max_tokens_512,0.829,0.509,0.658,0.387,0.752,0.719,0.923,0.394,0.746,0.437,0.230,0.541,0.120,0.692,0.100,0.735,0.080,0.568,0.060,0.650,0.094,0.603,0.073,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s67_max_tokens_512,0.841,0.509,0.663,0.427,0.752,0.806,0.955,0.372,0.760,0.408,0.230,0.494,0.144,0.675,0.107,0.722,0.092,0.544,0.025,0.614,0.089,0.564,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s68_max_tokens_512,0.847,0.587,0.702,0.470,0.779,0.769,0.929,0.475,0.777,0.532,0.257,0.601,0.240,0.715,0.110,0.759,0.094,0.603,0.085,0.658,0.096,0.638,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s69_max_tokens_512,0.843,0.530,0.673,0.439,0.758,0.798,0.950,0.397,0.765,0.437,0.243,0.519,0.168,0.691,0.107,0.738,0.089,0.553,0.038,0.640,0.092,0.581,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s70_max_tokens_512,0.850,0.578,0.698,0.476,0.774,0.798,0.943,0.453,0.779,0.500,0.270,0.515,0.336,0.709,0.117,0.759,0.098,0.585,0.062,0.633,0.104,0.627,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s71_max_tokens_512,0.852,0.571,0.695,0.479,0.772,0.818,0.951,0.439,0.780,0.489,0.243,0.541,0.248,0.713,0.108,0.760,0.085,0.572,0.060,0.653,0.104,0.618,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s72_max_tokens_512,0.839,0.633,0.727,0.478,0.805,0.699,0.875,0.578,0.776,0.651,0.297,0.751,0.256,0.738,0.129,0.794,0.114,0.609,0.078,0.671,0.122,0.672,0.092,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s73_max_tokens_512,0.850,0.607,0.713,0.485,0.787,0.766,0.923,0.503,0.783,0.539,0.365,0.609,0.304,0.718,0.121,0.765,0.107,0.602,0.081,0.641,0.109,0.658,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s74_max_tokens_512,0.847,0.520,0.670,0.450,0.755,0.839,0.964,0.377,0.768,0.415,0.230,0.489,0.168,0.676,0.097,0.717,0.080,0.571,0.041,0.623,0.084,0.579,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s75_max_tokens_512,0.857,0.643,0.735,0.520,0.803,0.773,0.919,0.550,0.796,0.620,0.284,0.695,0.280,0.707,0.126,0.762,0.112,0.574,0.055,0.645,0.102,0.613,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s76_max_tokens_512,0.852,0.602,0.711,0.490,0.784,0.785,0.933,0.489,0.785,0.542,0.284,0.605,0.272,0.719,0.123,0.774,0.104,0.580,0.057,0.661,0.116,0.611,0.071,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s77_max_tokens_512,0.843,0.593,0.704,0.462,0.783,0.741,0.913,0.494,0.773,0.549,0.284,0.639,0.224,0.722,0.126,0.780,0.107,0.579,0.055,0.666,0.113,0.616,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s78_max_tokens_512,0.845,0.552,0.684,0.451,0.766,0.788,0.943,0.425,0.770,0.475,0.230,0.545,0.200,0.737,0.107,0.778,0.087,0.635,0.095,0.680,0.103,0.661,0.102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s79_max_tokens_512,0.865,0.718,0.787,0.583,0.852,0.741,0.878,0.696,0.817,0.764,0.432,0.798,0.504,0.745,0.124,0.790,0.115,0.617,0.089,0.697,0.123,0.697,0.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s80_max_tokens_512,0.828,0.621,0.718,0.452,0.803,0.667,0.854,0.581,0.763,0.637,0.365,0.768,0.232,0.699,0.130,0.763,0.120,0.571,0.053,0.659,0.119,0.603,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s81_max_tokens_512,0.843,0.511,0.665,0.433,0.752,0.816,0.958,0.372,0.762,0.415,0.203,0.472,0.184,0.697,0.107,0.747,0.085,0.571,0.053,0.629,0.092,0.584,0.062,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s82_max_tokens_512,0.845,0.623,0.721,0.484,0.797,0.732,0.901,0.542,0.781,0.609,0.284,0.657,0.328,0.738,0.122,0.790,0.099,0.608,0.076,0.687,0.121,0.658,0.105,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s83_max_tokens_512,0.848,0.670,0.752,0.521,0.825,0.713,0.873,0.631,0.792,0.690,0.405,0.785,0.344,0.736,0.118,0.779,0.103,0.622,0.097,0.683,0.112,0.695,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s84_max_tokens_512,0.854,0.645,0.736,0.514,0.806,0.754,0.908,0.564,0.793,0.602,0.419,0.618,0.464,0.752,0.130,0.802,0.115,0.618,0.085,0.686,0.120,0.687,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s85_max_tokens_512,0.842,0.580,0.697,0.454,0.777,0.746,0.919,0.475,0.771,0.525,0.284,0.558,0.320,0.751,0.128,0.798,0.114,0.616,0.080,0.681,0.117,0.696,0.112,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s86_max_tokens_512,0.854,0.645,0.736,0.514,0.806,0.754,0.908,0.564,0.793,0.602,0.419,0.700,0.312,0.727,0.118,0.773,0.104,0.611,0.089,0.682,0.103,0.651,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s87_max_tokens_512,0.859,0.699,0.773,0.560,0.840,0.733,0.878,0.668,0.808,0.722,0.459,0.764,0.488,0.743,0.127,0.779,0.120,0.649,0.098,0.687,0.126,0.711,0.118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s88_max_tokens_512,0.836,0.534,0.672,0.417,0.760,0.745,0.929,0.416,0.757,0.454,0.270,0.519,0.224,0.717,0.116,0.768,0.097,0.576,0.050,0.654,0.102,0.624,0.084,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s89_max_tokens_512,0.815,0.647,0.734,0.463,0.827,0.630,0.804,0.665,0.757,0.729,0.419,0.794,0.424,0.720,0.113,0.759,0.111,0.652,0.092,0.667,0.106,0.691,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s90_max_tokens_512,0.836,0.564,0.687,0.432,0.772,0.727,0.913,0.461,0.762,0.507,0.284,0.549,0.296,0.710,0.110,0.758,0.092,0.576,0.067,0.656,0.102,0.635,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_hard_s91_max_tokens_512,0.852,0.691,0.767,0.543,0.839,0.712,0.864,0.670,0.799,0.739,0.405,0.833,0.368,0.747,0.117,0.777,0.108,0.675,0.109,0.680,0.115,0.731,0.113,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-3_txt_head_soft_s42_max_tokens_512,0.831,0.675,0.756,0.507,0.842,0.659,0.821,0.692,0.778,0.746,0.479,0.780,0.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.246,0.321,0.129,0.185,0.050,0.575,1.078,0.576,0.257,0.217
stereohoax-roberta_bne-3_txt_head_soft_s43_max_tokens_512,0.851,0.680,0.760,0.533,0.833,0.714,0.870,0.650,0.797,0.694,0.479,0.767,0.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.267,0.305,0.154,0.156,0.046,0.600,1.169,0.598,0.174,0.168
stereohoax-roberta_bne-3_txt_head_soft_s44_max_tokens_512,0.837,0.647,0.736,0.486,0.816,0.684,0.859,0.613,0.777,0.665,0.411,0.707,0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.308,0.312,0.166,0.165,0.063,0.528,1.167,0.599,0.277,0.213
stereohoax-roberta_bne-3_txt_head_soft_s45_max_tokens_512,0.853,0.666,0.749,0.525,0.820,0.732,0.888,0.611,0.796,0.662,0.411,0.728,0.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.312,0.311,0.164,0.163,0.055,0.556,1.221,0.610,0.256,0.220
stereohoax-roberta_bne-3_txt_head_soft_s46_max_tokens_512,0.852,0.667,0.750,0.523,0.822,0.726,0.884,0.616,0.795,0.669,0.411,0.716,0.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.297,0.300,0.158,0.154,0.056,0.535,1.109,0.582,0.283,0.225
stereohoax-roberta_bne-3_txt_head_soft_s47_max_tokens_512,0.854,0.690,0.767,0.545,0.838,0.718,0.870,0.664,0.801,0.701,0.521,0.767,0.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.270,0.297,0.148,0.169,0.054,0.546,1.085,0.567,0.260,0.210
stereohoax-roberta_bne-3_txt_head_soft_s48_max_tokens_512,0.854,0.659,0.745,0.523,0.816,0.741,0.897,0.594,0.796,0.651,0.370,0.690,0.416,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.305,0.165,0.144,0.058,0.541,1.236,0.614,0.260,0.219
stereohoax-roberta_bne-3_txt_head_soft_s49_max_tokens_512,0.851,0.664,0.748,0.521,0.820,0.727,0.885,0.611,0.794,0.669,0.384,0.698,0.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.320,0.307,0.178,0.156,0.053,0.552,1.227,0.607,0.256,0.210
stereohoax-roberta_bne-3_txt_head_soft_s50_max_tokens_512,0.845,0.646,0.736,0.498,0.812,0.713,0.881,0.591,0.785,0.634,0.425,0.668,0.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.290,0.308,0.138,0.174,0.060,0.526,1.056,0.570,0.306,0.236
stereohoax-roberta_bne-3_txt_head_soft_s51_max_tokens_512,0.839,0.679,0.759,0.518,0.840,0.677,0.838,0.681,0.785,0.739,0.452,0.784,0.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.271,0.305,0.160,0.172,0.054,0.540,1.149,0.585,0.237,0.194
stereohoax-roberta_bne-4_rh_text_hard_s42_max_tokens_512,0.859,0.649,0.739,0.527,0.806,0.775,0.919,0.559,0.799,0.613,0.351,0.652,0.384,0.715,0.113,0.765,0.094,0.595,0.066,0.668,0.106,0.623,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s43_max_tokens_512,0.837,0.432,0.633,0.398,0.732,0.866,0.978,0.288,0.747,0.331,0.122,0.369,0.136,0.688,0.083,0.720,0.066,0.557,0.045,0.636,0.077,0.615,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s44_max_tokens_512,0.851,0.687,0.764,0.540,0.836,0.714,0.867,0.662,0.799,0.711,0.473,0.742,0.512,0.752,0.121,0.789,0.110,0.646,0.110,0.700,0.122,0.725,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s45_max_tokens_512,0.862,0.702,0.775,0.567,0.840,0.744,0.885,0.665,0.812,0.746,0.351,0.755,0.496,0.720,0.124,0.769,0.112,0.596,0.073,0.670,0.116,0.656,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s46_max_tokens_512,0.845,0.532,0.675,0.444,0.759,0.807,0.952,0.397,0.767,0.437,0.243,0.506,0.192,0.690,0.083,0.723,0.063,0.602,0.080,0.652,0.081,0.607,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s47_max_tokens_512,0.860,0.609,0.716,0.515,0.785,0.831,0.951,0.480,0.794,0.525,0.311,0.635,0.192,0.695,0.103,0.739,0.088,0.592,0.064,0.644,0.095,0.600,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s48_max_tokens_512,0.846,0.710,0.783,0.557,0.863,0.684,0.829,0.737,0.799,0.799,0.500,0.828,0.568,0.732,0.119,0.775,0.111,0.622,0.096,0.689,0.115,0.700,0.096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s49_max_tokens_512,0.844,0.551,0.683,0.448,0.765,0.784,0.941,0.425,0.769,0.472,0.243,0.524,0.240,0.701,0.108,0.748,0.088,0.563,0.053,0.645,0.101,0.609,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s50_max_tokens_512,0.854,0.630,0.727,0.507,0.797,0.770,0.920,0.534,0.791,0.577,0.365,0.584,0.440,0.687,0.101,0.728,0.088,0.581,0.058,0.641,0.096,0.616,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s51_max_tokens_512,0.830,0.395,0.616,0.356,0.724,0.823,0.972,0.260,0.734,0.285,0.162,0.300,0.184,0.679,0.072,0.707,0.055,0.540,0.046,0.643,0.066,0.606,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s52_max_tokens_512,0.844,0.554,0.684,0.448,0.767,0.778,0.938,0.430,0.769,0.461,0.311,0.536,0.232,0.713,0.102,0.753,0.082,0.619,0.087,0.666,0.102,0.630,0.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s53_max_tokens_512,0.830,0.440,0.631,0.365,0.733,0.775,0.955,0.307,0.739,0.352,0.135,0.451,0.040,0.645,0.069,0.664,0.061,0.552,0.045,0.629,0.067,0.590,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s54_max_tokens_512,0.841,0.639,0.731,0.486,0.809,0.702,0.875,0.587,0.779,0.655,0.324,0.781,0.224,0.678,0.100,0.718,0.091,0.582,0.062,0.650,0.101,0.623,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
stereohoax-roberta_bne-4_rh_text_hard_s55_max_tokens_512,0.853,0.721,0.792,0.575,0.867,0.700,0.840,0.743,0.808,0.813,0.473,0.871,0.504,0.741,0.130,0.795,0.123,0.623,0.086,0.695,0.129,0.685,0.094,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
